  131.512721    -2.800112 1
  131.533156     2.069058 1
  131.553590     0.354076 1
  131.574025     2.898063 1
  131.594459     2.583645 1
  131.614894    -1.018756 1
  131.635328    -8.537828 1
  131.655763    -0.339763 1
  131.676198     4.811701 1
  131.696632    -2.435986 1
  131.717067    -1.378478 1
  131.737501     0.029511 1
  131.757936     0.507428 1
  131.778370    -0.996174 1
  131.798805     3.485693 1
  131.819240    -2.460984 1
  131.839674    -2.862681 1
  131.860109     1.874206 1
  131.880543     1.438414 1
  131.900978    -5.536524 1
  131.921412     5.069911 1
  131.941847    -5.572131 1
  131.962281     0.679873 1
  131.982716    -0.298688 1
  132.003151     0.321059 1
  132.023585     6.331681 1
  132.044020    -3.303921 1
  132.064454     3.519492 1
  132.084889     0.356216 1
  132.105323    -4.517195 1
  132.125758     2.448047 1
  132.146193    -2.594468 1
  132.166627     1.152340 1
  132.187062     2.260307 1
  132.207496    -4.245504 1
  132.227931     1.480096 1
  132.248365    -2.035027 1
  132.268800    -2.603100 1
  132.289234    -0.550061 1
  132.309669    -1.585899 1
  132.330104     3.901047 1
  132.350538    -1.816521 1
  132.370973     6.196075 1
  132.391407    -4.777358 1
  132.411842     1.995596 1
  132.432277    -5.485290 1
  132.452711    -7.918965 1
  132.473146     3.243878 1
  132.493580     3.405406 1
  132.514015    -0.468424 1
  132.534449    -0.892072 1
  132.554884     7.448968 1
  132.575318    -2.338315 1
  132.595753     0.799872 1
  132.616188    -0.169624 1
  132.636622    -2.162015 1
  132.657057     2.736499 1
  132.677491    -3.415484 1
  132.697926    -2.069697 1
  132.718360     3.479058 1
  132.738795     7.316228 1
  132.759230     2.848114 1
  132.779664    -1.856016 1
  132.800098    -2.884948 1
  132.820533     0.523651 1
  132.840968    -3.625702 1
  132.861402     5.024947 1
  132.881837    -9.159005 1
  132.902271     2.153492 1
  132.922706     0.639897 1
  132.943140    -2.192527 1
  132.963575     1.049071 1
  132.984010    -2.035824 1
  133.004444    -4.316201 1
  133.024879     2.405399 1
  133.045313    -1.549834 1
  133.065748    -2.211718 1
  133.086182     5.762892 1
  133.106617    -1.210575 1
  133.127051    -2.148207 1
  133.147486    -1.906290 1
  133.167921     2.545410 1
  133.188355    -2.925575 1
  133.208790     6.064480 1
